text,start_loc,end_loc
Aftershocks expected in Yotsuhama. Stay prepared and stay close to family! #earthquakeSafety,24,33
Reports of significant shaking in Tahara-mura. Connect with your loved ones! #earthquake,34,45
Seismic disturbances noted in Tatsuno-shi. Know the locations of safe spots in your home! #disasterAlert,30,41
"Tremors felt in Shimo-funaka-mura. If you’re at work, follow your company's safety protocol! #disasterAlert",16,33
Seismic disturbances noted in Shingū. Follow local authorities for guidance! #disasterAlert,30,36
Tremors felt in Niōji Dake. Stay indoors and check for any damage! #earthquakePreparedness,16,26
Massive quake shakes Naha Air Base. Emergency services on standby! #disasterAlert,21,34
"Tremors felt in Naegi-chō. If you're driving, pull over and stay inside the vehicle! #disasterAlert",16,25
Tremors felt in Mimitsu. Review your safety protocols and stay vigilant! #earthquakePreparedness,16,23
"Tremors felt in Kujū-san. Everyone, please stay safe! #StayAlert",16,24
Reports of strong shaking in Kazashi Yama. Stay indoors! #earthquake,29,41
Ground shaking detected in Katayamazu. Ensure your emergency contacts are updated! #disasterPreparedness,27,37
Reports confirm shaking in Kadena Air Base. Secure heavy furniture and stay safe! #quakeAlert,27,42
"Residents in Gōnotao, stay alert and follow instructions from local authorities! #StayAlert",13,20
Aftershocks in Gizu Zaki. Please remain vigilant! #disaster,15,24
Reports confirm shaking in Futenma Marine Corps Air Station. Secure your belongings and stay safe! #quakeAlert,27,59
Aftershocks expected in Ukishimaga Hara. Be prepared for any emergencies! #earthquake,24,39
Reports of tremors in Eino Shima. Stay indoors! #earthquake,22,32
"Residents of Gōno-kawa, stay indoors and away from windows! #StaySafe",13,22
Residents of Atsugi feel strong tremors again. Stay safe! #quakeAlert,13,19
"Residents of Ara-kawa, remain indoors until you receive the all-clear! #StayAlert",13,21
Earthquake reported near Akiaga-eki. Hope everyone is okay! #earthquakeRescue,25,35
Aftershocks expected in Akashi. Ensure you have adequate supplies at home! #earthquakeSafety,24,30
Strong aftershocks felt in Shutendōji Yama. Make sure your emergency supplies are ready! #earthquakeSafety,27,42
Another earthquake felt in Zushi. Stay safe everyone! #earthquake,27,32
"Residents of Zungiri-zaki, monitor local news for updates and safety instructions! #StayAlert",13,25
Earthquake detected near Zukeran. Stay connected with neighbors for safety! #earthquakeRescue,25,32
Shaking reported in Zuibaiji Gawa. Be aware of your surroundings and stay calm! #disasterAlert,20,33
Aftershocks in Zozo Seto following last night's quake. Stay alert! #disasterAlert,15,24
Aftershocks have been felt in Zōzō Bana. Ensure you have your emergency kits ready! #disasterPreparedness,30,39
Strong shaking reported in Zōzo. Stay indoors and avoid moving around unnecessarily! #quakeAlert,27,31
"Residents in Zō Zan, stay alert and monitor local news for updates! #StayAlert",13,19
Tremors detected in Zō-yama. Remain calm and monitor local news for updates! #disasterAlert,20,27
"Residents of Zōshuku, ensure your pets are safe during these tremors! #StaySafe",13,20
"Residents in Sagōno-seto, stay safe and be aware of your surroundings! #StaySafe",13,24
"Residents in Awazuchō, stay alert and follow instructions from local authorities! #StayAlert",13,21
"Residents of Zeze-eki, monitor local news for updates and safety instructions! #StayAlert",13,21
Tremors reported in Zeze. Stay informed through official updates! #StaySafe,20,24
Residents of Zentsūji Shi feel strong tremors again. Stay cautious! #earthquake,13,25
Tremors felt in Zentsujichó. Emergency services are on alert! #disasterAlert,16,27
Aftershocks expected in Nagano Bonchi. Have your evacuation plan ready to go! #earthquakeSafety,24,37
Severe earthquake felt in Ikawadanichō-zenkai. Take precautions! #quakeAlert,26,45
Tremors in Zenjimori-yama. Be ready for potential aftershocks and stay prepared! #quakeAlert,11,25
Aftershocks expected in Zenitsubo Yama. Help your neighbors stay informed about safety measures! #earthquakeSafety,24,38
Significant shaking reported in Zeni-su. Remember to stay low and protect your head! #quakeAlert,32,39
"Residents of Zengi, plan regular drills to practice your emergency procedures! #StayAlert",13,18
Tremors felt in Zenigame Zaki. Make sure to stay informed through trusted sources! #earthquakeAwareness,16,29
Tremors felt in Zenda Gawa. Be aware of your surroundings! #earthquake,16,26
Tremors felt in Zenda. Everyone stay vigilant! #earthquakeRescue,16,21
Shaking felt in Zeidani. Keep your phones charged and stay updated! #disasterAlert,16,23
Ground shaking detected in Zazare. Avoid panic and follow safety protocols! #disasterPreparedness,27,33
Seismic disturbances noted in Zaruga-dake. Share your safety tips with friends and family! #disasterAlert,30,41
Aftershocks shaking Zaōmachi. Keep your emergency kits ready! #disaster,20,28
Massive quake shakes Zano-shima. Emergency services on high alert! #disasterAlert,21,31
Earthquake detected near Zanpa Misaki. Stay updated via local news channels! #earthquakeRescue,25,37
"Residents of Zama Shi, check on neighbors who may need assistance after the quake! #StayAlert",13,21
Tremors felt in Zamami Son. Everyone stay cautious! #quakeAlert,16,26
Tremors felt in Zamami Jima. Make sure to have a safety plan in place! #earthquakePreparedness,16,27
Seismic activity in Zamami. Ensure you have essential supplies ready! #disasterPreparedness,20,26
"Tremors felt in Azumachō-zama. If you’re outside, find an open area away from buildings! #disasterAlert",16,29
Residents of Zama urged to stay calm during aftershocks. #StaySafe,13,17
Tremors felt in Zakimi. Stay away from tall structures and find cover! #earthquakePreparedness,16,22
Tremors in Zaisho-mura. Have a backup plan for communication with loved ones! #quakeAlert,11,22
Earthquake activity near Zaisho. Stay updated and prepare for aftershocks! #earthquakeRescue,25,31
Tremors felt in Kamitakarachō-zaike. Emergency services on standby. #earthquake,16,35
Tremors felt in Zahana. Check your emergency plans and stay safe! #earthquake,16,22
Earthquake activity near Zaha. Plan for possible interruptions to services! #earthquakeRescue,25,29
Another tremor felt in Zagashira-sone. Stay safe! #earthquake,23,37
Seismic activity noted in Yuzuruha San. Ensure your emergency kit is ready! #disasterAlert,26,38
Massive tremors felt in Yuzuriha. Emergency services on alert! #disasterAlert,24,32
Seismic disturbances noted in Yuzawa-yama. Follow local authorities for guidance! #disasterAlert,30,41
Reports confirm shaking in Yuzawa. Follow safety guidelines from local officials! #quakeAlert,27,33
Reports of significant shaking in Yuza. Make sure to check on your neighbors! #earthquake,34,38
"Residents of Yuya Wan, make sure to check on your neighbors after the shaking! #StaySafe",13,21
Aftershocks expected in Yuyama. Stay prepared and keep your emergency kit handy! #earthquakeSafety,24,30
Earthquake detected near Yuyama. Stay informed and follow local emergency updates! #earthquakeRescue,25,31
Aftershocks expected in Amagasemachi-yuyama. Maintain a clear exit path in your home! #earthquakeSafety,24,43
The ground is shaking in Yuwan Dake. Stay informed and keep emergency numbers handy! #disasterPreparedness,25,35
"Residents of Yuwan, check your emergency kits and stay indoors! #StaySafe",13,18
Tremors reported in Yutorino. Secure heavy items to prevent accidents! #disasterAlert,20,28
Significant shaking reported in Yūtō-chō. Stay calm and follow local guidance! #quakeAlert,32,40
"Residents of Yutamaminami, check on elderly neighbors to ensure they are safe! #StaySafe",13,25
Strong shaking reported in Yutaka-mura. Make sure your family knows safety procedures! #quakeAlert,27,38
