text,date,original,genre,related,PII,request,offer,aid_related,medical_help,medical_products,search_and_rescue,security,military,child_alone,water,food,shelter,clothing,money,missing_people,refugees,death,other_aid,infrastructure_related,transport,buildings,electricity,tools,hospitals,shops,aid_centers,other_infrastructure,weather_related,floods,storm,fire,earthquake,cold,other_weather,direct_report,actionable_haiti
un reports leogane destroyed hospital st croix functioning needs supplies desperately,17-01-2010,UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,direct,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gressier needs assistance right away asap come help us,17-01-2010,Se gressier nou an difikilte tanpri vin ede nou,direct,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
delmas silo need water,17-01-2010,Delma 33 silo gen problem dlo,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
sos sos please provide police officers streets insecure,17-01-2010,EMGENCY EMGENCY SI POLIS LA TE KA BAY PREZANS LI SOU CHAK PLAS AK LARI LI TAP BON PASKE CHAK SWA YO F ANPIL DEGA MENM DETWI LAVI MOUN ENPOTAN,direct,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hurricane,17-01-2010,Cyclone nan fini osinon li pa fini,direct,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
says west side haiti rest country today tonight,17-01-2010,facade ouest d Haiti et le reste du pays aujourd hui et ce soir,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
information national palace,17-01-2010,Informtion au nivaux palais nationl,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
storm sacred heart jesus,17-01-2010,Cyclone Coeur sacr de jesus,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
please need tents water silo thank,17-01-2010,Tanpri nou bezwen tant avek dlo nou zon silo mesi.,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
would like receive messages thank,17-01-2010,Mwen ta renmen jouin messag yo. Merci,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nothing eat water starving thirsty,17-01-2010,Bon repo pa gen anyen menm grangou swaf,direct,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
petionville need information regarding,17-01-2010,M nan pv mvle plis enfomasyon sou 4636,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomassin number area named pyron would like water thank god fine desperately need water thanks,17-01-2010,Mwen thomassin 32 nan pyron mwen ta renmen jwen yon ti dlo gras a dieu bo lakay mwen anfom se sel dlo nou bezwen,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
let us together need food delma didine area,17-01-2010,Ann fel ansanm bezwen manje nan delma 75 nan riyel didine,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
information number order participate see use,17-01-2010,gen plis enfomasyon sou 4636 la pom w sim ap ka patisipe.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comitee delmas rue street janvier impasse charite people temporary shelter dire need water food medications tents clothes please stop see us,17-01-2010,"Komite katye delma 19 rue janvier imp charite no 2. Nou genyen 500 moun ki nan abri pwovizwa. Nou bezwen dlo, manje, medikaman, tant, vtman. Tanpri vizite n.",direct,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
understand use thing,17-01-2010,Mwen pa konprann koman pou m itilize bagay 4636 la,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
would like know earthquake thanks,17-01-2010,Mwen ta remen connin si trenblem de terre afini oke,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
would like know one radio ginen journalist died,17-01-2010,Mwen ta renmen konnen eske ge jounalis radyo ginen ki mouri.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
im laplaine victim,17-01-2010,Mwen laplan mwen viktim kot yap bay d pou latranbl,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
lack water moleya please informed,17-01-2010,Nan moleya pa gen dlo svp f konnen sa pou mwen.,direct,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
want say hello message let know area faustin anhy street nothing neither food water medicine,17-01-2010,Mwen salye nou dab mesaj mwen an se jis nou gen yen faustin 1re rue anhy 1re kipa jwenn an yen ni vizit ni dlo e moun yo dan le bezyon yap achte ti sa,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tell service,17-01-2010,Can you tell me about this service,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get water food fontamara cite tinante,17-01-2010,Comment nou ka jwen dlo ak manje nan font 43 cite tinante,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
need help carrefour forgotten completely foul odor killing us letting know thanks,17-01-2010,Nap di secours yo bliye kafou net sant m ap touye moun fe mesage la pase ok mersi.,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
good evening radio one please would like information tiyous,17-01-2010,Bonswa radio one svp eskew pap k enfomasyon sou tiyous.,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lot problem delma avenue albert jode people need water food,17-01-2010,We have a many probleme a baout delmas 75 aveny albert jode the pepole need some weater some food and medcin Iwat my name rejinald,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
im find person needed send pant phone,17-01-2010,Mwen la moun poum te voye pantalon mwen pa jwenn yo pa telefon,direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
people sleeping outdoors field near lilavois since jan coords lilavois apparently near pap,17-01-2010,ofit des habitants qui dorment a la belle etoile sur le terrain de Lilavois depuis le 12 janvier.,direct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
want know carrefour need help starving death,17-01-2010,koufou poko jwenn ankenn ed nap mouri grangou men nou gen dlo ok.,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
would like get help cote plage carrefour,17-01-2010,Mwen ta renmen yo vizite cote plage carrefour,direct,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
leoganes get food please,17-01-2010,mwen leyogan ki kote ki gen manje tanpri,direct,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
comite miracle area alerte rue monseigneur guilloux streets alerte cross street mgr guilloux would like urgently receive food water tents people area thanks,17-01-2010,komite mirak ki tabli nan zone alerte mgr guilloux ta renmen resevwa prese prese dlo manje ak tant pou moun nan zone nan,direct,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
